Brand,Name,Rating,Review,Harga_Diskon,Harga_Asli
barenbliss,Locklook Dewy Setting Spray,4.8,132,64710,71900
Studio Tropik,Elixir Priming Water,4.6,65,87120,148720
ESQA,Bronzer,4.7,1100,95000,95000
barenbliss,Moist Mochi Paste Powder Blush,4.9,106,75905,79900
Dear Me Beauty,Airy Poreless Powder Foundation,4.7,181,74000,115370
Maybelline,Fit Me Matte & Poreless Compact Powder,4.6,1100,83900,83900
Dazzle Me,Color Chrome Lip Matte,4.7,46,34110,37900
TIMEPHORIA,TIMELESS LUMINA MATTE PERFECTION CUSHION,4.8,35,210000,210000
barenbliss,Bloomdew Inner Light Serum Tint,4.7,41,116100,129000
Carasun,Carasun Solar Smart UV Sun Cushion SPF 50+ PA++++,4.6,1800,113400,189000
ESQA,Juicy Joy Serum Lip Oil,4.7,54,103550,109000
barenbliss,No Gravity Transferproof Matte Lipstick,4.7,41,85405,89900
Maybelline,Volum Express The Colossal Waterproof Mascara,4.7,652,94900,94900
Luxcrime,Luxcrime Ultra Smooth Lip Liner,4.6,113,80100,84550
Dazzle Me,Better Than Filter Maxnificent Essence Cushion,4.4,29,64710,71900
barenbliss,Locklook Matte Setting Spray,4.8,138,64710,71900
Rose All Day,The Realest Lightweight Compact Powder,4.6,1700,111750,122180
Rose All Day,Rosé All Day's The Powerpuff Girls Super Bounce Jelly Blush,4.7,28,101200,115000
Azarine,Mattelite Lock Lipstick,4.8,22,57200,65000
BLP Beauty,Eyeshadow Pocket Butter Fudge Collection,4.8,35,129000,129000
Make Over,Powerstay Demi-Matte Cover Cushion,4.6,3200,225000,225000
BLP Beauty,Compact Powder,4.6,689,149000,149000
Maybelline,Line Tattoo Crayon Liner,4.7,141,145900,145900
Studio Tropik,DreamSetter Airbrush Setting Powder,4.6,202,185814,199800
NPure,Power Cushion,4.7,56,134100,149000
ETUDE,Drawing Eye Brow,4.6,21,58200,60000
Espoir,COUTURE LIP TINT BLUR VELVET,4.7,85,269000,269000
ESQA,Mist Universe Setting Spray,4.6,1100,59000,130500
BLP Beauty,Dream Brow,4.6,73,109000,109000
Espoir,PRO TAILOR BE VELVET CUSHION,4.8,221,349000,349000
Maybelline,Sky High Cosmic Black Easy Wash Mascara Smudgeproof,4.5,24,154900,154900
Secondate,Silky Blur Powder,4.6,113,141550,149000
BLP Beauty,Lip Cotton,4.6,465,149000,149000
Make Over,Hydrastay Lite Glow Cushion,4.6,624,225000,225000
Amuse,Dew Tint Daisy,4.8,83,269100,284050
Loreal Paris,Infallible 32H Matte Cover Foundation,4.7,171,222000,229900
Loreal Paris,Infallible 24H Fresh Wear Powder Foundation,4.6,174,179900,179900
Rose All Day,Cheeky Flush Liquid Blush,4.7,51,98100,109000
Amuse,JEL-FIT TINT,4.6,75,269100,299000
Espoir,PRO TAILOR BE GLOW CUSHION NEW CLASS,4.7,117,314100,349000
Holika Holika,Water Vibe Tint,4.6,141,128000,128000
Emina,Airy Surprise Tint,4.7,60,69500,69500
Emina,Glossy Stain,4.6,3800,56000,56000
Sea Makeup,Acne Blur and Set Loose Powder,4.8,43,82800,109200
Wardah,Colorfit Perfect Glow Cushion,4.8,56,116100,129000
Holika Holika,Lash Correcting Mascara Long Extension,4.8,272,162000,180000
Azarine,Oh! So Fine Liner,4.5,160,55000,55000
BLP Beauty,Lip Gel,4.6,1000,119000,119000
Make Over,Velvet Mattifying Primer,4.4,1200,111000,111000
TIMEPHORIA,PANDORA CHEEK LIQUID BLUSH,4.8,17,109900,109900
Wardah,Matte Lip Cream,4.2,15900,68500,68500
